"state1_name","state2_name","state1_fips","state2_fips","distance_km"
"Virginia","Texas","51","48",1992.22303614105
"Virginia","Louisiana","51","22",1405.11353841026
"Virginia","Florida","51","12",1050.35291211834
"Virginia","Kentucky","51","21",573.325356300071
"Virginia","Tennessee","51","47",697.855063654368
"Virginia","New York","51","36",663.863993770647
"Virginia","Georgia","51","13",687.224649231658
"Virginia","Hawaii","51","15",7583.72308081296
"Virginia","Delaware","51","10",331.621725592962
"Virginia","Washington","51","53",3545.01808570487
"Virginia","Oklahoma","51","40",1680.91657539764
"Virginia","West Virginia","51","54",202.736220355004
"Virginia","Alaska","51","02",5535.72486959185
"Virginia","Pennsylvania","51","42",383.38808560156
"Virginia","Colorado","51","08",2333.01618599823
"Virginia","North Carolina","51","37",221.259025355112
"Virginia","Indiana","51","18",700.697061346848
"Virginia","Kansas","51","20",1715.66919765308
"Virginia","District of Columbia","51","11",218.977273058084
"Virginia","Rhode Island","51","44",774.076330279379
"Virginia","Wyoming","51","56",2501.47620177065
"Virginia","Mississippi","51","28",1121.22756605426
"Virginia","Massachusetts","51","25",797.289743764651
"Virginia","Connecticut","51","09",691.463376937084
"Virginia","Vermont","51","50",892.149011550027
"Virginia","Maine","51","23",1177.96859836132
"Virginia","New Hampshire","51","33",916.144638528559
"Virginia","New Mexico","51","35",2473.75452183755
"Virginia","Ohio","51","39",463.292871963683
"Virginia","Alabama","51","01",900.223423911545
"Virginia","Nebraska","51","31",1850.35165599633
"Virginia","South Dakota","51","46",1949.29921177777
"Virginia","Nevada","51","32",3277.92744689466
"Virginia","New Jersey","51","34",464.448693569268
"Virginia","North Dakota","51","38",2081.23034775451
"Virginia","South Carolina","51","45",443.803294990678
"Virginia","Arizona","51","04",2966.89897096888
"Virginia","Arkansas","51","05",1257.21478676441
"Illinois","California","17","06",2637.08630181823
"Illinois","Wisconsin","17","55",514.055113871077
"Illinois","Idaho","17","16",2138.65369939406
